idx,fine-grained classes,coarse classes
53,'Cadillac Escalade EXT Crew Cab 2007',Cab
54,'Chevrolet Silverado 1500 Hybrid Crew Cab 2012',Cab
65,'Chevrolet Avalanche Crew Cab 2012',Cab
69,'Chevrolet Silverado 2500HD Regular Cab 2012',Cab
70,'Chevrolet Silverado 1500 Classic Extended Cab 2007',Cab
74,'Chevrolet Silverado 1500 Extended Cab 2012',Cab
75,'Chevrolet Silverado 1500 Regular Cab 2012',Cab
86,'Dodge Ram Pickup 3500 Crew Cab 2010',Cab
87,'Dodge Ram Pickup 3500 Quad Cab 2009',Cab
90,'Dodge Dakota Crew Cab 2010',Cab
91,'Dodge Dakota Club Cab 2007',Cab
106,'Ford F-450 Super Duty Crew Cab 2012',Cab
111,'Ford Ranger SuperCab 2011',Cab
113,'Ford F-150 Regular Cab 2012',Cab
114,'Ford F-150 Regular Cab 2007',Cab
122,'GMC Canyon Extended Cab 2012',Cab
124,'HUMMER H3T Crew Cab 2010',Cab
125,'HUMMER H2 SUT Crew Cab 2009',Cab
8,Aston Martin V8 Vantage Convertible 2012',Convertible
10,'Aston Martin Virage Convertible 2012',Convertible
12,'Audi RS 4 Convertible 2008',Convertible
21,'Audi S5 Convertible 2012',Convertible
27,'BMW 1 Series Convertible 2012',Convertible
31,'BMW 6 Series Convertible 2007',Convertible
36,'BMW M6 Convertible 2010',Convertible
38,'BMW Z4 Convertible 2012',Convertible
39,'Bentley Continental Supersports Conv. Convertible 2012',Convertible
45,'Bugatti Veyron 16.4 Convertible 2009',Convertible
55,'Chevrolet Corvette Convertible 2012',Convertible
59,'Chevrolet Camaro Convertible 2012',Convertible
77,'Chrysler Sebring Convertible 2010',Convertible
80,'Chrysler Crossfire Convertible 2008',Convertible
81,'Chrysler PT Cruiser Convertible 2008',Convertible
100,'FIAT 500 Convertible 2012',Convertible
102,'Ferrari California Convertible 2012',Convertible
103,'Ferrari 458 Italia Convertible 2012',Convertible
107,'Ford Mustang Convertible 2007',Convertible
123,'Geo Metro Convertible 1993',Convertible
157,'MINI Cooper Roadster Convertible 2012',Convertible
158,'Maybach Landaulet Convertible 2012',Convertible
161,'Mercedes-Benz 300-Class Convertible 1993',Convertible
175,'Rolls-Royce Phantom Drophead Coupe Convertible 2012',Convertible
179,'Spyker C8 Convertible 2009',Convertible
196,smart fortwo Convertible 2012',Convertible
6,Acura Integra Type R 2001',Coupe
9,Aston Martin V8 Vantage Coupe 2012',Coupe
11,'Aston Martin Virage Coupe 2012',Coupe
13,'Audi A5 Coupe 2012',Coupe
14,'Audi TTS Coupe 2012',Coupe
15,'Audi R8 Coupe 2012',Coupe
22,'Audi S5 Coupe 2012',Coupe
25,'Audi TT RS Coupe 2012',Coupe
28,'BMW 1 Series Coupe 2012',Coupe
34,'BMW M3 Coupe 2012',Coupe
42,'Bentley Continental GT Coupe 2012',Coupe
43,'Bentley Continental GT Coupe 2007',Coupe
46,'Bugatti Veyron 16.4 Coupe 2009',Coupe
56,Chevrolet Corvette ZR1 2012',Coupe
57,Chevrolet Corvette Ron Fellows Edition Z06 2007',Coupe
66,Chevrolet Cobalt SS 2010',Coupe
72,'Chevrolet Monte Carlo Coupe 2007',Coupe
93,Dodge Challenger SRT8 2011',Coupe
99,FIAT 500 Abarth 2012',Coupe
101,'Ferrari FF Coupe 2012',Coupe
104,'Ferrari 458 Italia Coupe 2012',Coupe
112,'Ford GT Coupe 2006',Coupe
128,'Honda Accord Coupe 2012',Coupe
141,'Infiniti G Coupe IPL 2012',Coupe
144,Jaguar XK XKR 2012',Coupe
150,'Lamborghini Reventon Coupe 2008',Coupe
151,'Lamborghini Aventador Coupe 2012',Coupe
152,Lamborghini Gallardo LP 570-4 Superleggera 2012',Coupe
153,'Lamborghini Diablo Coupe 2001',Coupe
160,'McLaren MP4-12C Coupe 2012',Coupe
163,'Mercedes-Benz SL-Class Coupe 2009',Coupe
171,'Nissan 240SX Coupe 1998',Coupe
172,'Plymouth Neon Coupe 1999',Coupe
180,'Spyker C8 Coupe 2009',Coupe
7,Acura ZDX Hatchback 2012',Hatchback
19,Audi TT Hatchback 2011',Hatchback
98,'Eagle Talon Hatchback 1998',Hatchback
130,'Hyundai Veloster Hatchback 2012',Hatchback
139,'Hyundai Elantra Touring Hatchback 2012',Hatchback
168,'Nissan Leaf Hatchback 2012',Hatchback
170,'Nissan Juke Hatchback 2012',Hatchback
178,'Scion xD Hatchback 2012',Hatchback
183,'Suzuki SX4 Hatchback 2012',Hatchback
190,'Volkswagen Golf Hatchback 2012',Hatchback
191,'Volkswagen Golf Hatchback 1991',Hatchback
192,'Volkswagen Beetle Hatchback 2012',Hatchback
193,Volvo C30 Hatchback 2012',Hatchback
60,Chevrolet HHR SS 2010',Minivan
78,Chrysler Town and Country Minivan 2012',Minivan
85,'Dodge Caravan Minivan 1997',Minivan
108,'Ford Freestar Minivan 2007',Minivan
126,'Honda Odyssey Minivan 2012',Minivan
127,'Honda Odyssey Minivan 2007',Minivan
174,'Ram C/V Cargo Van Minivan 2012',Minivan
2,Acura RL Sedan 2012',Sedan
3,Acura TL Sedan 2012',Sedan
4,Acura TL Type-S 2008',Sedan
5,Acura TSX Sedan 2012',Sedan
16,Audi V8 Sedan 1994',Sedan
17,'Audi 100 Sedan 1994',Sedan
20,'Audi S6 Sedan 2011',Sedan
23,'Audi S4 Sedan 2012',Sedan
24,'Audi S4 Sedan 2007',Sedan
26,'BMW ActiveHybrid 5 Sedan 2012',Sedan
29,'BMW 3 Series Sedan 2012',Sedan
35,'BMW M5 Sedan 2010',Sedan
40,'Bentley Arnage Sedan 2009',Sedan
41,'Bentley Mulsanne Sedan 2011',Sedan
44,'Bentley Continental Flying Spur Sedan 2007',Sedan
47,Buick Regal GS 2012',Sedan
49,'Buick Verano Sedan 2012',Sedan
51,'Cadillac CTS-V Sedan 2012',Sedan
61,'Chevrolet Impala Sedan 2007',Sedan
63,'Chevrolet Sonic Sedan 2012',Sedan
67,'Chevrolet Malibu Hybrid Sedan 2010',Sedan
73,'Chevrolet Malibu Sedan 2007',Sedan
79,Chrysler 300 SRT-8 2010',Sedan
96,'Dodge Charger Sedan 2012',Sedan
97,Dodge Charger SRT-8 2009',Sedan
105,'Fisker Karma Sedan 2012',Sedan
115,'Ford Focus Sedan 2007',Sedan
117,'Ford Fiesta Sedan 2012',Sedan
129,'Honda Accord Sedan 2012',Sedan
134,'Hyundai Sonata Hybrid Sedan 2012',Sedan
135,'Hyundai Elantra Sedan 2007',Sedan
136,'Hyundai Accent Sedan 2012',Sedan
137,'Hyundai Genesis Sedan 2012',Sedan
138,'Hyundai Sonata Sedan 2012',Sedan
140,'Hyundai Azera Sedan 2012',Sedan
156,'Lincoln Town Car Sedan 2011',Sedan
162,'Mercedes-Benz C-Class Sedan 2012',Sedan
164,'Mercedes-Benz E-Class Sedan 2012',Sedan
165,'Mercedes-Benz S-Class Sedan 2012',Sedan
167,'Mitsubishi Lancer Sedan 2012',Sedan
173,'Porsche Panamera Sedan 2012',Sedan
176,'Rolls-Royce Ghost Sedan 2012',Sedan
177,'Rolls-Royce Phantom Sedan 2012',Sedan
181,'Suzuki Aerio Sedan 2007',Sedan
182,'Suzuki Kizashi Sedan 2012',Sedan
184,'Suzuki SX4 Sedan 2012',Sedan
185,'Tesla Model S Sedan 2012',Sedan
187,'Toyota Camry Sedan 2012',Sedan
188,'Toyota Corolla Sedan 2012',Sedan
194,Volvo 240 Sedan 1993',Sedan
1,'AM General Hummer SUV 2000',SUV
32,'BMW X5 SUV 2007',SUV
33,'BMW X6 SUV 2012',SUV
37,'BMW X3 SUV 2012',SUV
48,'Buick Rainier SUV 2007',SUV
50,'Buick Enclave SUV 2012',SUV
52,'Cadillac SRX SUV 2012',SUV
58,'Chevrolet Traverse SUV 2012',SUV
62,'Chevrolet Tahoe Hybrid SUV 2012',SUV
68,Chevrolet TrailBlazer SS 2009',SUV
76,'Chrysler Aspen SUV 2009',SUV
89,'Dodge Journey SUV 2012',SUV
94,'Dodge Durango SUV 2012',SUV
95,'Dodge Durango SUV 2007',SUV
109,'Ford Expedition EL SUV 2009',SUV
110,'Ford Edge SUV 2012',SUV
118,'GMC Terrain SUV 2012',SUV
120,'GMC Yukon Hybrid SUV 2012',SUV
121,'GMC Acadia SUV 2012',SUV
131,'Hyundai Santa Fe SUV 2012',SUV
132,'Hyundai Tucson SUV 2012',SUV
133,'Hyundai Veracruz SUV 2012',SUV
142,'Infiniti QX56 SUV 2011',SUV
143,'Isuzu Ascender SUV 2008',SUV
145,'Jeep Patriot SUV 2012',SUV
146,'Jeep Wrangler SUV 2012',SUV
147,'Jeep Liberty SUV 2012',SUV
148,'Jeep Grand Cherokee SUV 2012',SUV
149,'Jeep Compass SUV 2012',SUV
154,'Land Rover Range Rover SUV 2012',SUV
155,'Land Rover LR2 SUV 2012',SUV
159,'Mazda Tribute SUV 2011',SUV
186,'Toyota Sequoia SUV 2012',SUV
189,Toyota 4Runner SUV 2012',SUV
195,Volvo XC90 SUV 2007',SUV
64,Chevrolet Express Cargo Van 2007',Van
71,'Chevrolet Express Van 2007',Van
88,'Dodge Sprinter Cargo Van 2009',Van
119,'GMC Savana Van 2012',Van
166,'Mercedes-Benz Sprinter Van 2012',Van
169,'Nissan NV Passenger Van 2012',Van
18,Audi 100 Wagon 1994',Wagon
30,'BMW 3 Series Wagon 2012',Wagon
82,'Daewoo Nubira Wagon 2002',Wagon
83,'Dodge Caliber Wagon 2012',Wagon
84,'Dodge Caliber Wagon 2007',Wagon
92,'Dodge Magnum Wagon 2008',Wagon
116,'Ford E-Series Wagon Van 2012',Wagon
